{\rtf1\ansi\ansicpg1252\cocoartf2709
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fmodern\fcharset0 Courier;}
{\colortbl;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\cssrgb\c0\c0\c0;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\partightenfactor0

\f0\fs26 \cf0 \expnd0\expndtw0\kerning0
\outl0\strokewidth0 \strokec2 Zipcode,Income per capita,Median household income,Poverty, Median age,Median home value,Median monthly owner cost,Total Population,White Population,Black Population,American Indian Population,Asian Population,Hispanic Population,Population identifying as 2+ races,Percent of transit public transport\
43214,45890.0,76831.0,3191.0,40.8,285800.0,1730.0,26917.0,22800.0,1779.0,50.0,1067.0,866.0,874.0,369.0\
43215,59344.0,64368.0,2559.0,30.9,324000.0,1975.0,14950.0,11747.0,1602.0,56.0,710.0,873.0,711.0,395.0\
43223,19054.0,41292.0,7118.0,33.1,84700.0,1026.0,27458.0,19065.0,5571.0,40.0,320.0,2307.0,1216.0,261.0\
43229,21981.0,44804.0,12509.0,33.2,143000.0,1232.0,56760.0,22965.0,23704.0,232.0,4405.0,7186.0,4510.0,517.0\
43231,26092.0,57348.0,4324.0,31.6,156500.0,1300.0,23202.0,10715.0,9822.0,19.0,993.0,1781.0,1027.0,235.0\
43232,21310.0,42592.0,9184.0,34.1,104700.0,1129.0,46914.0,15404.0,27711.0,410.0,393.0,2841.0,1736.0,696.0\
43235,45015.0,77951.0,2906.0,35.6,256900.0,1800.0,44158.0,34730.0,3144.0,260.0,4008.0,1609.0,1499.0,210.0\
43302,24451.0,46806.0,7596.0,40.3,98300.0,980.0,54413.0,47805.0,3375.0,163.0,467.0,1566.0,2274.0,216.0\
43138,25669.0,54032.0,2910.0,39.4,136900.0,1112.0,18619.0,17943.0,152.0,0.0,16.0,210.0,404.0,56.0\
43144,16838.0,32353.0,93.0,41.0,65300.0,786.0,382.0,370.0,3.0,0.0,6.0,0.0,3.0,0.0\
43240,43273.0,80852.0,317.0,31.8,204800.0,1389.0,4543.0,2428.0,371.0,0.0,1589.0,187.0,155.0,40.0\
43310,28398.0,62614.0,188.0,37.3,136600.0,989.0,3144.0,3072.0,2.0,0.0,0.0,9.0,65.0,5.0\
43324,48017.0,76625.0,173.0,52.1,205300.0,1125.0,2783.0,2692.0,0.0,0.0,53.0,56.0,16.0,0.0\
43342,36389.0,71726.0,85.0,37.5,126600.0,1195.0,3531.0,3456.0,0.0,0.0,0.0,31.0,69.0,0.0\
43345,27092.0,73047.0,38.0,38.5,151100.0,1208.0,1013.0,1009.0,4.0,0.0,0.0,5.0,0.0,0.0\
43347,25672.0,69071.0,112.0,37.6,125500.0,1266.0,1344.0,1297.0,0.0,0.0,0.0,29.0,47.0,20.0\
43359,27109.0,59306.0,55.0,44.0,157300.0,1300.0,814.0,754.0,0.0,0.0,0.0,60.0,27.0,0.0\
43408,16429.0,54063.0,55.0,32.5,92900.0,1053.0,398.0,395.0,1.0,0.0,0.0,14.0,0.0,0.0\
43450,35210.0,71765.0,439.0,47.1,184200.0,1313.0,3539.0,3350.0,39.0,0.0,0.0,261.0,90.0,9.0\
43451,29547.0,66667.0,97.0,38.9,134300.0,1610.0,1177.0,1030.0,66.0,0.0,0.0,143.0,23.0,0.0\
43460,35201.0,75425.0,678.0,37.1,145300.0,1303.0,6483.0,6103.0,74.0,0.0,29.0,316.0,202.0,0.0\
92394,24072.0,61270.0,7512.0,31.1,241900.0,1563.0,34836.0,16787.0,7345.0,320.0,1464.0,18800.0,3597.0,25.0\
92544,22585.0,53885.0,9702.0,33.6,253600.0,1652.0,50392.0,36403.0,2463.0,865.0,1152.0,23262.0,3223.0,183.0\
92067,95165.0,212188.0,936.0,45.4,2000001.0,4001.0,8968.0,7246.0,0.0,0.0,302.0,1668.0,1349.0,0.0\
92250,19428.0,49637.0,1692.0,37.2,236200.0,1366.0,8255.0,4980.0,57.0,0.0,57.0,6526.0,943.0,0.0\
92364,,-666666666.0,5.0,-666666666.0,-666666666.0,-666666666.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0\
92545,22486.0,48052.0,5394.0,40.3,245400.0,1673.0,44278.0,31216.0,2943.0,639.0,1113.0,20239.0,2137.0,15.0\
92626,45669.0,95175.0,4054.0,35.8,803000.0,2724.0,50978.0,34043.0,1210.0,299.0,7250.0,13847.0,3181.0,616.0\
74080,28865.0,77800.0,300.0,38.9,163000.0,1351.0,2862.0,2046.0,2.0,405.0,80.0,58.0,314.0,0.0\
74033,30176.0,66628.0,1234.0,32.6,138200.0,1263.0,12663.0,8974.0,231.0,1216.0,410.0,933.0,1764.0,29.0\
74045,33543.0,61250.0,19.0,41.3,227800.0,1534.0,319.0,275.0,0.0,11.0,3.0,0.0,28.0,0.0\
74047,29607.0,68646.0,605.0,38.8,146700.0,1246.0,7289.0,5716.0,45.0,821.0,17.0,509.0,626.0,0.0\
74083,29910.0,70333.0,94.0,45.4,150700.0,1040.0,1040.0,811.0,20.0,87.0,0.0,47.0,121.0,0.0\
74001,22082.0,48750.0,38.0,46.8,69100.0,1375.0,373.0,269.0,0.0,57.0,0.0,7.0,42.0,0.0\
74008,39534.0,80208.0,1756.0,36.5,243500.0,1755.0,30144.0,24218.0,617.0,1380.0,723.0,1992.0,2901.0,25.0\
74030,23326.0,30650.0,703.0,47.3,64400.0,772.0,3750.0,3263.0,78.0,335.0,8.0,85.0,66.0,0.0\
74032,24180.0,53750.0,221.0,44.6,112100.0,943.0,1729.0,1584.0,0.0,57.0,0.0,35.0,78.0,0.0\
74034,23398.0,26875.0,16.0,53.8,55000.0,-666666666.0,81.0,61.0,0.0,2.0,0.0,5.0,18.0,0.0\
18240,25426.0,51762.0,320.0,40.7,102000.0,967.0,3806.0,3446.0,325.0,0.0,1.0,332.0,27.0,0.0\
18255,26710.0,53466.0,665.0,45.0,127500.0,1147.0,4411.0,4295.0,45.0,19.0,0.0,71.0,52.0,18.0\
18301,33237.0,70157.0,3903.0,39.5,184000.0,1929.0,29694.0,18377.0,7250.0,167.0,738.0,5028.0,1875.0,607.0\
18332,30048.0,86286.0,280.0,38.4,184900.0,1814.0,3309.0,2268.0,700.0,0.0,63.0,530.0,170.0,13.0\
18343,37956.0,69265.0,282.0,49.6,226300.0,1831.0,4010.0,3484.0,151.0,0.0,116.0,377.0,103.0,52.0\
18439,31332.0,59688.0,106.0,55.2,185000.0,-666666666.0,526.0,510.0,7.0,8.0,0.0,40.0,1.0,0.0\
18458,36623.0,68990.0,205.0,51.5,249400.0,1393.0,2968.0,2874.0,0.0,0.0,14.0,82.0,80.0,32.0\
18459,17222.0,-666666666.0,19.0,25.3,-666666666.0,-666666666.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0\
18503,21956.0,32625.0,167.0,39.7,101400.0,-666666666.0,1197.0,1084.0,80.0,0.0,10.0,90.0,4.0,35.0\
18509,26958.0,44852.0,2639.0,37.0,136300.0,1256.0,13786.0,11838.0,843.0,8.0,387.0,1392.0,480.0,39.0\
18512,31444.0,54227.0,926.0,42.3,148200.0,1278.0,11550.0,10644.0,156.0,17.0,478.0,505.0,255.0,107.0\
18657,35745.0,65156.0,957.0,45.8,173300.0,1372.0,11575.0,10823.0,288.0,19.0,77.0,137.0,331.0,22.0\
18702,24766.0,46926.0,8280.0,38.5,90000.0,1133.0,40105.0,27858.0,5087.0,141.0,1123.0,8709.0,2598.0,458.0\
